2004,,,,,,
Party,Votes,%,Seats,,,
Rishivadi Karm Sheel Young Parmarthi Party,,,4401,0,0,
Jebamani Janata,,,4356,0,0,
Bhartiya Panchsheel Party,,,4345,0,0,
Bharatiya Asha Party,,,4300,0,0,
Apna Desh Party,,,4297,0,0,
Kalinga Sena,,,4284,0,0,
Akhil Bhartiya Hamara Samaj Party,,,4225,0,0,
Gujarat Sarva Samaj Party,,,4211,0,0,
National Maha Sabha Party,,,4184,0,0,
Karunada Sevakara Party,,,4175,0,0,
Loktantrik Lok Rajyam Party,,,4169,0,0,
Apni Prajahit Party,,,4109,0,0,
Apna Haq Party,,,4094,0,0,
Swaraj Bhartiya Nyay Party,,,4088,0,0,
Indian Peoples Adhikar Party,,,4041,0,0,
Tamilaga Makkal Thannurimai Katchi,,,4033,0,0,
Bhartiya Jan Parishad,,,4020,0,0,
Bharathiya YuvaKula Dalam,,,4007,0,0,
Bahujan Awam Party,,,3989,0,0,
Garib Kalyan Party,,,3979,0,0,
Lok Jan Sangharsh Party,,,3954,0,0,
Akhand Bharat Samrajya Party,,,3930,0,0,
Rashtriya Samta Vikas Party,,,3926,0,0,
Rashtrawadi Chetna Party,,,3915,0,0,
Rashtriya Manav Party,,,3905,0,0,
Akhil Bhartiya Sarvjan Hit Party,,,3892,0,0,
Akhila Vijaya Party,,,3882,0,0,
Gondwana Dandkaranya Party,,,3857,0,0,
Swatantra Kisan Party,,,3849,0,0,
Uttarakhand Samanta Party,,,3845,0,0,
Mizoram People's Conference,,,3793,0,0,
Insaniyat Party,,,3790,0,0,
Thakkam Katchi,,,3785,0,0,
Bharat Nirman Party,,,3772,0,0,
Telugu Nava Garjana Party,,,3741,0,0,
Country Citizen Party,,,3712,0,0,
Asankhya Samaj Party,,,3672,0,0,
Sanyukt Bharat Paksh,,,3656,0,0,
Mana Telangana Rashtra Samaikya Party,,,3634,0,0,
Jai Sewalal Bahujan Vikas Party,,,3628,0,0,
All India Youth Development Party,,,3528,0,0,
Lok Sewa Dal,,,3519,0,0,
Marxist Communist Party of India (United),,,3505,0,0,
Naari Nar Rakshak Party,,,3501,0,0,
Bharatiya Bikash Parishad,,,3430,0,0,
Prabuddhwadi Bahujan Morcha,,,3414,0,0,
Sunder Samaj Party,,,3409,0,0,
People's Party of India(secular),,,3392,0,0,
Jan Raajya Party,,,3376,0,0,
Bharatiya Rashtriya Morcha,,,3358,0,0,
Vanchitsamaj Insaaf Party,,,3330,0,0,
Sarvjan Lok Shakti Party,,,3280,0,0,
Janta Samta Party,,,3264,0,0,
Rashtriya Janshakti Party(Eklavya),,,3263,0,0,
Majloom Samaj Party,,,3237,0,0,
Rashtra Samarpan Party,,,3205,0,0,
"Aam Janmat Party,",,,3205,0,0,
Republican Party of India,,,3204,0,0,
Republican Bahujan Sena,,,3161,0,0,
Abua Jharkhand Party,,,3155,0,0,
Bhartiya Jantantra Morcha,,,3094,0,0,
Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,,,3078,0,0,
Bhumiputra United Party,,,3018,0,0,
Bhartiya Azad Sena,,,3018,0,0,
Lok Swarajya Party,,,2992,0,0,
Rashtriya Janshakti Samaj Party,,,2988,0,0,
Mahathma Makkal Munnetra Kazhakam,,,2981,0,0,
Rashtriya Maratha Party,,,2978,0,0,
Kranti Kari Jai Hind Sena,,,2976,0,0,
Jan Shakti Dal,,,2955,0,0,
Justice Party,,,2946,0,0,
Sampoorna Bharat Kranti Party,,,2944,0,0,
Ummeed Party of India,,,2944,0,0,
Samst Samaj Party,,,2904,0,0,
Navabharath Sena,,,2898,0,0,
Republican Party of India (Social),,,2818,0,0,
Bharatiya Prajagala Kalyana Paksha,,,2816,0,0,
Azad Samaj Party,,,2791,0,0,
Navyug Pragatisheel Morcha,,,2779,0,0,
Akhil Bharatiya Congress Dal (Ambedkar),,,2777,0,0,
Garib Democratic Party,,,2748,0,0,
Bharatiya Praja Surajya Paksha,,,2737,0,0,
Saath Sahakar Vikas Party,,,2673,0,0,
Sathi Aur Aapka Faisala Party,,,2666,0,0,
Bhartiya Jan Samrat Party,,,2640,0,0,
Jharkhand Mukti Morcha (Ulgulan),,,2615,0,0,
Viduthalai Kalam Katchi,,,2599,0,0,
Bharatiya Majdoor Janta Party,,,2566,0,0,
Swarajya Sena (Maharashtra),,,2533,0,0,
Smart Indians Party,,,2510,0,0,
Anna Makkal Katchi,,,2505,0,0,
All India Ulama Congress,,,2500,0,0,
Pragatisheel Magahi Samaj,,,2468,0,0,
Gujarat Loktantra Party,,,2458,0,0,
Odisha Janata Party,,,2442,0,0,
Bharatiya Nagrik Party,,,2434,0,0,
Aapka Gantantra Party,,,2432,0,0,
Prajatantra Aadhar Party,,,2429,0,0,
Bhartiya Manavta Party,,,2426,0,0,
Gareeb Aadmi Party,,,2425,0,0,
Ahimsa Socialist Party,,,2421,0,0,
Bangali Nabanirman Sena,,,2410,0,0,
India Greens Party,,,2387,0,0,
Sarva Samaj Janata Party,,,2379,0,0,
Vishva Shakti Party,,,2361,0,0,
Lok Sena Party,,,2350,0,0,
Rashtriya Jantantrik Bharat Vikas Party,,,2347,0,0,
National Youth Party,,,2343,0,0,
Dalit Soshit Pichhara Varg Adhikar Dal,,,2342,0,0,
Rayalaseema Rashtra Samithi,,,2333,0,0,
Samajwadi Janata Party(Karnataka),,,2320,0,0,
Tamil Manila Murpokku Dravida Kazhagam,,,2315,0,0,
Azad Party,,,2311,0,0,
Bharat Ki Lok Jimmedar Party,,,2310,0,0,
Rashtriya Jan Utkarsh Party,,,2309,0,0,
Rashtriya Sawarn Dal,,,2293,0,0,
Utkal Samaj,,,2285,0,0,
Akhil Bharat Hindu Mahasabha,,,2278,0,0,
New India Party,,,2269,0,0,
Aanaithinthiya Jananayaka Pathukappu Kazhagam,,,2244,0,0,
Sarvjan Awaz Party,,,2239,0,0,
Chennai Youth Party,,,2195,0,0,
Loktantrik Janshakti Party,,,2191,0,0,
Aam Aadmi Parivartan Party,,,2128,0,0,
Akhil Bhartiya Manavadhikar Vichar Manch Party,,,2108,0,0,
Majdoor Kisan Union Party,,,2105,0,0,
Rashtriya Power Party,,,2101,0,0,
Jai Hind Congress Party,,,2101,0,0,
Prabal Bharat Party,,,2099,0,0,
Sunahara Bharat Party,,,2091,0,0,
Most Backward Classes Of India,,,2090,0,0,
Apna Samaj Party,,,2083,0,0,
Manviya Bharat Party,,,2082,0,0,
Vikas Insaf Party,,,2033,0,0,
Sabse Achchhi Party,,,2029,0,0,
Republican Party of India (Karnataka),,,2018,0,0,
Bhartiya Sarvdharm Party,,,2012,0,0,
People’s Union Par,,,2009,0,0,
Spashtwadi Jan Aadhar Party,,,2003,0,0,
National Black Panther Party,,,1994,0,0,
Yuva Bihar Sena,,,1990,0,0,
Bhartiya Lokvani Party,,,1956,0,0,
Sankhyanupati Bhagidari Party,,,1949,0,0,
Saman Adhikar Party,,,1943,0,0,
Janta Shashan Party,,,1942,0,0,
Bhartiya Jan Adhikar Party,,,1940,0,0,
Humanity for Peace Party,,,1935,0,0,
Madhya Pradesh Jan Vikas Party,,,1932,0,0,
Ulzaipali Makkal Katchy,,,1929,0,0,
Mang Samaj Party,,,1905,0,0,
Tamilar Makkal Katchi,,,1904,0,0,
Samajwadi Lok Parishad,,,1880,0,0,
Bharatiya Sampuran Krantikari Party,,,1880,0,0,
Bhartiya Asmita Party,,,1874,0,0,
Kannada Chalavali Vatal Paksha,,,1867,0,0,
The Agrani Party,,,1843,0,0,
Bhartiya Jan Nayak Party,,,1838,0,0,
Vidarbha Rajya Aghadi,,,1828,0,0,
Himachal Janta Party,,,1825,0,0,
Adarsh Jankalyan Dal,,,1817,0,0,
Rashtriya Hind Ekta Dal,,,1806,0,0,
Blue India Party,,,1803,0,0,
Makkal Nalvaazhvuk Katchi,,,1792,0,0,
Prajavani Party,,,1792,0,0,
National Party,,,1767,0,0,
People Protection Party,,,1737,0,0,
Kosal Janata Dal,,,1735,0,0,
Indian Labour Party (Ambedkar Phule),,,1729,0,0,
Telangana Rajya Samithi,,,1727,0,0,
Ambedkarist Republican Party,,,1727,0,0,
Akhand Bharat Janpriya Party,,,1716,0,0,
Aim Political Party,,,1715,0,0,
Bharatiya Ekta Dal,,,1704,0,0,
Kamgaar Kisan Party,,,1701,0,0,
Ahinsa Samaj Party,,,1698,0,0,
Jindabad Kranti Party,,,1690,0,0,
Parivartan Party of India,,,1686,0,0,
Bhartiya Janta Secular Party,,,1685,0,0,
Rashtra Dharak Dal,,,1683,0,0,
Paschimanchal Vikas Party,,,1682,0,0,
Yuva Vikas Party,,,1679,0,0,
Bharat Jan Aadhar Party,,,1675,0,0,
Telangana Jaghir Party,,,1648,0,0,
Jana Sahayaka Sakthi,,,1644,0,0,
Rashtriya Lokswaraj Party,,,1641,0,0,
Rashtriya Janmorcha,,,1639,0,0,
Samajwadi Jan Parishad,,,1637,0,0,
Atulya Bharat Party,,,1617,0,0,
Young Star Empowerment Party,,,1616,0,0,
Prajarajya Samithi,,,1614,0,0,
Hamara Sahara Party,,,1614,0,0,
Sanjhi Virasat Party,,,1610,0,0,
Abhinav Bharat Janseva Paksh,,,1602,0,0,
Lokshahi Ekta Party,,,1585,0,0,
Adim Bhartiya Dal,,,1584,0,0,
Janta Samajwadi Party (Vivek Raj),,,1574,0,0,
Hindvi Swarajyay Dal,,,1573,0,0,
Indian Unity Centre,,,1572,0,0,
Bharatiya Liberal Party,,,1552,0,0,
Bhartiya Party,,,1549,0,0,
Bharatiya Lokshakti Party,,,1537,0,0,
Rashtriya Narayanwadi Vikas Party,,,1527,0,0,
All Peoples Party,,,1495,0,0,
Rashtriya Sanskriti Party,,,1494,0,0,
Public Adhikar Socialist Indian Party,,,1493,0,0,
Tamizhaga Murpokku Makkal Katchi,,,1488,0,0,
Bhartiya Uday Nirman Party,,,1483,0,0,
Aam Janshakti Party,,,1478,0,0,
Rashtra Samanya Praja Party,,,1474,0,0,
Janlok Vikas Party,,,1473,0,0,
Bharatiya Bahujan Samta Party,,,1459,0,0,
Telangana Republican Party,,,1452,0,0,
AARAKSHAN VIRODHI PARTY,,,1444,0,0,
Supreme Zero Party of Bharat,,,1441,0,0,
Vishal Janta Party,,,1421,0,0,
Samrat Mihir Bhoj Samaj Party,,,1412,0,0,
Swayam Shashan Party,,,1408,0,0,
Super Power India Party,,,1400,0,0,
"Adarsh Janta Party,",,,1376,0,0,
All India Mazdoor Party (Rangreta),,,1374,0,0,
Yuva Taram Party,,,1369,0,0,
Hindustan Janta Party Secular,,,1366,0,0,
Prithviraj Janshakti Party,,,1364,0,0,
Bhartiya Garib Vikas Kalyan Party,,,1347,0,0,
Rashtriya Janmanch (Secular),,,1333,0,0,
Gorkha Rashtriya Congress,,,1331,0,0,
Sakala Janula Party,,,1324,0,0,
Rashtriya Janta Party,,,1319,0,0,
Janshakti Janta Dal,,,1318,0,0,
Lok Samaj Party,,,1294,0,0,
Rashtriya Vikalp Party,,,1269,0,0,
Bahujana Left Party,,,1265,0,0,
Rajasthan Raj Party,,,1264,0,0,
Akhil Bharatiya Hind Kranti Party,,,1259,0,0,
Praja Ektha Party,,,1252,0,0,
Challengers Party,,,1243,0,0,
Rashtriya Vikas Party,,,1240,0,0,
Indian Believers Party (IBP),,,1239,0,0,
Pehchan People’s Par,,,1228,0,0,
Sarvar Party,,,1202,0,0,
National Future Party,,,1197,0,0,
Megh Desham Party,,,1194,0,0,
National Janmandal Party,,,1193,0,0,
Sajag Samaj Party,,,1191,0,0,
Awami Samta Party,,,1190,0,0,
Kamera Samaj Party,,,1177,0,0,
Adarshwaadi Congress Party,,,1173,0,0,
Rashtriya Janutthan Party,,,1157,0,0,
Rashtriya Secular Majlis Party,,,1136,0,0,
New Generation People’s Par,,,1133,0,0,
Janahitha Paksha,,,1130,0,0,
Sanyogwadi Party,,,1128,0,0,
Jan Sewak Kranti Party,,,1120,0,0,
Indian Movement Party,,,1117,0,0,
Rastriya Atal Janta Party,,,1116,0,0,
Aadim Samaj Party,,,1100,0,0,
Rashtriya Janhit Sangharsh Party,,,1090,0,0,
Dr. Bhimrao Ambedkar Dal,,,1078,0,0,
Manav Kranti Party,,,1076,0,0,
Vidiyalai Thedum Indhiyargal Party,,,1073,0,0,
Proutist Sarva Samaj,,,1069,0,0,
Lokrajya Janata Party,,,1061,0,0,
Akhil Bharatiya Manavata Paksha,,,1057,0,0,
Vikas India Party,,,1054,0,0,
Shiromani Lok Dal Party,,,1044,0,0,
Punnagai Desam Party,,,1040,0,0,
Netaji Subhash Chander Bose Rashtriya Azad Party,,,1019,0,0,
Rashtriya Sant Sandesh Party,,,994,0,0,
Sehajdhari Sikh Party,,,987,0,0,
Rashtriya Jansena Party,,,983,0,0,
India Manus Party,,,982,0,0,
Karnataka Praja Party (RaithaParva),,,978,0,0,
Mission All India Independent Justice Party,,,960,0,0,
Janta Darbar Party,,,956,0,0,
Buland Bharat Party,,,955,0,0,
Pichhara Samaj Party United,,,952,0,0,
Welfare Party Of India,,,951,0,0,
All India Uzhavargal Uzhaippalargal Katchi,,,950,0,0,
Bharatiya Jan Morcha Party,,,945,0,0,
Aman Samaj Party,,,945,0,0,
Bhartiya Rashtriya Jansatta,,,941,0,0,
Bahujan Kranti Party (Marxwad- Ambedkarwad),,,940,0,0,
Janta Raj Vikas Party,,,939,0,0,
Anaithu India Makkal Katchi,,,937,0,0,
Janta Kranti Party,,,936,0,0,
Samaj Bhalai Morcha,,,930,0,0,
Akhil Bhartiya Kisan Majdoor Party,,,924,0,0,
Swaraj Kranti Party,,,909,0,0,
Democratic Socialist Party of India,,,885,0,0,
Bharatiya Jan Jagriti Party,,,879,0,0,
Aadarsh Sangram Party,,,865,0,0,
Uttar Pradesh Republican Party,,,854,0,0,
Digvijaya Bharatha Party,,,850,0,0,
Republican Party of India Bharatha,,,848,0,0,
Indian National Yuva Jana Party,,,847,0,0,
Jan Shakti Ekta Party,,,847,0,0,
Satya Bahumat Party,,,842,0,0,
Bhartiya Sabka Dal,,,841,0,0,
Akhil Bharatiya Muslim League (Secular),,,821,0,0,
New Labour Party,,,819,0,0,
Akhil Bhartiya Aamjan Party,,,818,0,0,
Kunbi Bahujan Sawrajya Party,,,817,0,0,
Pachchasi Parivartan Samaj Party,,,802,0,0,
Jana Shankhaaraavam Party,,,797,0,0,
Rashtriy Bahujan Party,,,795,0,0,
Rashtriya Mazdoor Ekta Party,,,791,0,0,
Telugu Congress Party,,,790,0,0,
Chhatrapati Shivaji Bhartiya Garib Party,,,790,0,0,
Lokpriya Rashtrawadi Party,,,782,0,0,
Anjaan Aadmi Party,,,781,0,0,
Akhand Bharat Swatantra Party,,,780,0,0,
Mission Naya Digant Party,,,772,0,0,
Rani Chennamma Party,,,771,0,0,
Bhrashtachar Mukti Morcha,,,766,0,0,
Rashtriya Jan Karmath Party,,,764,0,0,
Tamilaga Makkal Nala Katchi,,,761,0,0,
Bhartiya Mahasangh Party,,,758,0,0,
Aadi Bharat Party,,,742,0,0,
Jamat-E-Seratul Mustakim,,,741,0,0,
Makkal Nala Kazhagam,,,736,0,0,
Bharatiya Lokvikas Party,,,723,0,0,
All India People Development Party,,,711,0,0,
Jai Hindustan Party,,,711,0,0,
BhartiyaBahujanKranti Dal,,,709,0,0,
Aam Lok Party United,,,695,0,0,
Ambedkar National Congress,,,688,0,0,
Rashtriya Congress(J) Party,,,685,0,0,
Bharat Peoples Sena,,,683,0,0,
Satyawadi Rakshak Party,,,657,0,0,
National Republic Party Of India,,,657,0,0,
Sacho Sach Party,,,652,0,0,
Youth India Peace Party,,,649,0,0,
Adarsh Samaj Party,,,643,0,0,
Rashtravadi Loktantrik Party (India),,,641,0,0,
Praja Prasthanam Party,,,633,0,0,
All India Jananayaka Makkal Kazhagam,,,633,0,0,
Manav Samadhan Party,,,622,0,0,
Rashtriya Rashtrawadi Party,,,614,0,0,
Bharatiya Inqalab Party,,,610,0,0,
Mera Bharat Mahan Party,,,604,0,0,
Kisan Vishwa Party,,,603,0,0,
Voters Independent Party,,,601,0,0,
Aawami Pichhada Party,,,594,0,0,
Bahujan National Party (Ambedkar),,,586,0,0,
Guruchand Sena Dal,,,583,0,0,
All India Kisan Janatha party,,,578,0,0,
Kranti Janshakti Party,,,575,0,0,
Rashtriya Suraksha Party,,,574,0,0,
Dalit Kranti Dal,,,547,0,0,
Navsarjan Bharat Party,,,545,0,0,
Akhil Bhartiya Aarakshit Samaj Party,,,544,0,0,
Aap Sabki Apni Party,,,528,0,0,
Raita Bharat Party,,,518,0,0,
All India Mahila Empowerment Party,,,515,0,0,
Corruption Abolition Party,,,501,0,0,
Bhartiya Panchyat Party,,,494,0,0,
Secular Democratic Congress,,,490,0,0,
Kannada Paksha,,,477,0,0,
Hamara Sahi Vikalp Party,,,476,0,0,
Bhartiya Veer Dal,,,470,0,0,
Bengaluru Nava Nirmana Party,,,461,0,0,
Radical Party of India (Ambedkarist),,,454,0,0,
Desh Prem Party,,,454,0,0,
Sarvlokhit Samaj Party,,,446,0,0,
Dhoom Sena,,,434,0,0,
Neethi Nijayithi Party,,,430,0,0,
Maa Telangana Party,,,423,0,0,
Samajik Sangharsh Party,,,419,0,0,
Navodayam Party,,,414,0,0,
All India National Raksha Sena,,,396,0,0,
Bharatiya Mulnivasi Aazad Party,,,396,0,0,
Bhartiya Jan Vikas Aaghadi,,,391,0,0,
Bahujan Shoshit Samaj Sangharsh Samta Party,,,373,0,0,
Andhra Pradesh Rashtra Samithi,,,358,0,0,
Akhil Bhartiya Sudhar Party,,,321,0,0,
Loktantrik Janta Dal,,,316,0,0,
Tamil Nadu Makkal Nalvazhvu Periyakkam,,,314,0,0,
Karnataka Karmikara Paksha,,,314,0,0,
Bharatrashtra Democratic Party,,,310,0,0,
All India Jaihind Party,,,269,0,0,
Bharat Lok Sewak Party,,,262,0,0,
Republican Party of India (Sivaraj),,,259,0,0,
Rashtriya Mangalam Party,,,257,0,0,
Rashtriya Jatigat Aarakshan Virodhi Party,,,215,0,0,
All India Backward People Sunami Party,,,210,0,0,
Telangana Prajaa Jeevana Rythu Party,,,141,0,0,
Indian Praja Congress,,,141,0,0,
Independents,,,17850062,2.77,7,
,,,,6371839,0.99,
Total,,,,645362531,100,543
,,,,,,
Valid votes,,,,645362531,99.84,
Invalid/blank votes,,,,1058338,0.16,
Total votes,,,,646420869,100,
Registered voters/turnout,,,,977965560,66.1,
Source: EC,,,,,,
,,,,,,
,,,,,,
2009,,,,,,
,,,,,,
Party,,Votes,%,Seats,,
Indian National Congress,119111019,28.55,206,,,
Bharatiya Janata Party,78435381,18.8,116,,,
Bahujan Samaj Party,25728920,6.17,21,,,
Communist Party of India (Marxist),22219111,5.33,16,,,
Samajwadi Party,14284638,3.42,23,,,
All India Trinamool Congress,13356510,3.2,19,,,
Telugu Desam Party,10481659,2.51,6,,,
Nationalist Congress Party,8521502,2.04,9,,,
Dravida Munnetra Kazhagam,7625397,1.83,18,,,
All India Anna Dravida Munnetra Kazhagam,6953591,1.67,9,,,
Biju Janata Dal,6612552,1.59,14,,,
Praja Rajyam Party,6590046,1.58,0,,,
Shiv Sena,6454950,1.55,11,,,
Janata Dal (United),6331201,1.52,20,,,
Communist Party of India,5951888,1.43,4,,,
Rashtriya Janata Dal,5280084,1.27,4,,,
Shiromani Akali Dal,4004789,0.96,4,,,
Janata Dal (Secular),3434082,0.82,3,,,
Desiya Murpokku Dravida Kazhagam,3126117,0.75,0,,,
Telangana Rashtra Samithi,2582326,0.62,2,,,
Assam United Democratic Front,2184553,0.52,1,,,
Pattali Makkal Katchi,1944619,0.47,0,,,
Lok Jan Shakti Party,1891963,0.45,0,,,
Rashtriya Lok Dal,1821054,0.44,5,,,
Asom Gana Parishad,1773103,0.43,1,,,
Jharkhand Mukti Morcha,1665173,0.4,2,,,
Revolutionary Socialist Party,1573650,0.38,2,,,
Maharashtra Navnirman Sena,1503863,0.36,0,,,
All India Forward Bloc,1345803,0.32,2,,,
Indian National Lok Dal,1286573,0.31,0,,,
Marumalarchi Dravida Munnetra Kazhagam,1112908,0.27,1,,,
Communist Party of India (Marxist–Leninist) Liberati,1044510,0.25,0,,,
Jharkhand Vikas Morcha (Prajatantrik),963274,0.23,1,,,
Muslim League Kerala State Committee,877494,0.21,2,,,
Nagaland Peoples Front,832224,0.2,1,,,
Haryana Janhit Congress (BL),816395,0.2,1,,,
Viduthalai Chiruthaigal Katchi,735847,0.18,1,,,
Bodoland People's Front,656430,0.16,1,,,
Kongunadu Munnetra Kazhagam,579703,0.14,0,,,
Lok Satta Party,557376,0.13,0,,,
Peace Party,537638,0.13,0,,,
Jammu and Kashmir Peoples Democratic Party,522760,0.13,0,,,
Jammu & Kashmir National Conference,498374,0.12,3,,,
Apna Dal,495032,0.12,0,,,
Bharipa Bahujan Mahasangh,492470,0.12,0,,,
Swabhimani Paksha,481025,0.12,1,,,
Kerala Congress (M),404962,0.1,1,,,
Republican Party of India (Athawale),379746,0.09,0,,,
Kerala Congress,333688,0.08,0,,,
Suheldev Bhartiya Samaj Party,319307,0.08,0,,,
All India Majlis-e-Ittehadul Muslimeen,308061,0.07,1,,,
Republican Party of India,294650,0.07,0,,,
Pyramid Party of India,287576,0.07,0,,,
Loktantrik Samata Dal,270040,0.06,0,,,
Mahagujarat Janta Party,245174,0.06,0,,,
People's Democratic Alliance,224719,0.05,0,,,
Bahujan Vikas Aaghadi,223234,0.05,1,,,
Gondwana Ganatantra Party,220741,0.05,0,,,
Rashtriya Samaj Paksha,215042,0.05,0,,,
All Jharkhand Students Union,200523,0.05,0,,,
Swatantra Bharat Paksh,188608,0.05,0,,,
Indian Justice Party,177759,0.04,0,,,
Sikkim Democratic Front,159351,0.04,1,,,
Rashtriya Samanta Dal,153455,0.04,0,,,
Rashtriya Swabhimaan Party,152633,0.04,0,,,
Rashtrawadi Sena,144735,0.03,0,,,
Rashtriya Dehat Morcha Party,139404,0.03,0,,,
Samruddha Odisha,131379,0.03,0,,,
Janvadi Party (Socialist),129595,0.03,0,,,
Jharkhand Party,125900,0.03,0,,,
United Democratic Party,124402,0.03,0,,,
Autonomous State Demand Committee,123287,0.03,0,,,
Puthiya Tamilagam,120797,0.03,0,,,
Lok Bhalai Party,118470,0.03,0,,,
Jharkhand Party (Naren),104600,0.03,0,,,
Jharkhand Disom Party,102698,0.02,0,,,
Manipur Peoples Party,101787,0.02,0,,,
Hill State People's Democratic Party,97613,0.02,0,,,
Marxist Co-ordination Committee,91489,0.02,0,,,
Jammu and Kashmir National Panthers Party,87502,0.02,0,,,
Gondwana Mukti Sena,85355,0.02,0,,,
Prabuddha Republican Party,76518,0.02,0,,,
National Lokhind Party,72620,0.02,0,,,
Rashtriya Krantikari Samajwadi Party,71857,0.02,0,,,
Kranti Kari Jai Hind Sena,70715,0.02,0,,,
Manithaneya Makkal Katchi,68346,0.02,0,,,
Jammu and Kashmir People's Conference,65403,0.02,0,,,
Mahan Dal,65398,0.02,0,,,
Krantisena Maharashtra,65151,0.02,0,,,
Jago Party,64482,0.02,0,,,
Ambedkar National Congress,60896,0.01,0,,,
Sarvodaya Karnataka Paksha,60333,0.01,0,,,
Jharkhand Jan Morcha,58025,0.01,0,,,
Pragatisheel Manav Samaj Party,57649,0.01,0,,,
Rashtriya Kranti Party,55805,0.01,0,,,
Loksangram,53637,0.01,0,,,
Kalinga Sena,53033,0.01,0,,,
Trilinga Praja Pragati Party,48136,0.01,0,,,
Bira Oriya Party,47720,0.01,0,,,
Hindu Mahasabha,47456,0.01,0,,,
Arunachal Congress,46539,0.01,0,,,
Jharkhand Vikas Dal,45246,0.01,0,,,
Amra Bangali,45102,0.01,0,,,
Rashtra Sewa Dal,43184,0.01,0,,,
Shiromani Akali Dal (Simranjit Singh Mann),43137,0.01,0,,,
Kosal Kranti Dal,42744,0.01,0,,,
Ambedkar Samaj Party,42586,0.01,0,,,
Bahujan Republican Ekta Manch,42386,0.01,0,,,
Loktantrik Samajwadi Party,40803,0.01,0,,,
A-Chik National Congress (Democratic),40204,0.01,0,,,
Bharatiya Bahujan Party,39797,0.01,0,,,
Mana Party,39257,0.01,0,,,
Uttarakhand Kranti Dal,38633,0.01,0,,,
Navbharat Nirman Party,37219,0.01,0,,,
Rajasthan Vikas Party,36584,0.01,0,,,
Rashtravadi Janata Party,34670,0.01,0,,,
Bharatiya Jantantrik Janta Dal,34528,0.01,0,,,
Bahujan Sangharsh Party (Kanshiram),33010,0.01,0,,,
Jharkhand Janadikhar Manch,32219,0.01,0,,,
Eklavya Samaj Party,31983,0.01,0,,,
Samta Party,31324,0.01,0,,,
Democratic Secular Party,30532,0.01,0,,,
Peoples Guardian,30340,0.01,0,,,
Samajwadi Janata Party (Rashtriya),30091,0.01,0,,,
Lokpriya Samaj Party,29459,0.01,0,,,
Rashtriya Pragati Party,29151,0.01,0,,,
Nelopa (United),27388,0.01,0,,,
Shoshit Samaj Dal,26807,0.01,0,,,
Akhil Bartiya Manav Seva Dal,26268,0.01,0,,,
Bharatiya Republican Paksha,25940,0.01,0,,,
Rashtravadi Communist Party,25842,0.01,0,,,
Lokdal,24588,0.01,0,,,
Jan Surajya Shakti,23925,0.01,0,,,
Samajwadi Jan Parishad,23539,0.01,0,,,
Akhil Bharatiya Congress Dal (Ambedkar),22861,0.01,0,,,
Rashtravadi Aarthik Swatantrata Dal,22453,0.01,0,,,
Akhila India Jananayaka Makkal Katchi (Dr. Issac),21609,0.01,0,,,
Akila India Vallalar Peravai,20982,0.01,0,,,
People's Democratic Forum,20699,0,0,,,
Bharatiya Jana Sangh,20599,0,0,,,
Moulik Adhikar Party,20534,0,0,,,
Bahujan Shakty,18844,0,0,,,
Peace Party of India,18726,0,0,,,
Chhattisgarh Vikas Party,18394,0,0,,,
Great India Party,18161,0,0,,,
Vanchit Jamat Party,17868,0,0,,,
Prajatantrik Samadhan Party,17570,0,0,,,
United Goans Democratic Party,16727,0,0,,,
Makkal Manadu Katchi,16699,0,0,,,
Bharatiya Sadbhawna Samaj Party,15948,0,0,,,
Marxist Communist Party of India (S.S. Srivastava),15922,0,0,,,
Rashtriya Krantikari Janata Party,15847,0,0,,,
Bharatiya Sarvodaya Kranti Party,15734,0,0,,,
Bharatheeya Sadharma Samsthapana Party,15718,0,0,,,
Bahujan Uday Manch,15272,0,0,,,
Puthiya Needhi Katchi,15074,0,0,,,
Bharat Punarnirman Dal,14974,0,0,,,
Smast Bhartiya Party,14435,0,0,,,
Akhil Bharatiya Ashok Sena,13828,0,0,,,
Bharatiya Momin Front,13737,0,0,,,
Bhartiya Jagran Party,13506,0,0,,,
Jana Hitkari Party,13313,0,0,,,
Rashtriya Jan-Jagram Morcha,13194,0,0,,,
Ulzaipali Makkal Katchy,13193,0,0,,,
Republican Party of India Ektawadi,12767,0,0,,,
Rashtriya Janwadi Party (Krantikari),12732,0,0,,,
Jawan Kisan Morcha,12716,0,0,,,
United Women Front,12338,0,0,,,
Chhattisgarhi Samaj Party,11972,0,0,,,
Loktanrik Sarkar Party,11893,0,0,,,
Republican Paksha (Khoripa),11724,0,0,,,
Peoples Republican Party,11341,0,0,,,
Bharatiya Samta Samaj Party,11151,0,0,,,
Bajjikanchal Vikas Party,11097,0,0,,,
Bahujan Samaj Party(Ambedkar-Phule),10698,0,0,,,
Kosi Vikas Party,10447,0,0,,,
All India Minorities Front,10211,0,0,,,
Aadivasi Sena Party,9936,0,0,,,
Jammu and Kashmir Awami National Conference,9900,0,0,,,
Bharatiya Minorities Suraksha Mahasangh,9871,0,0,,,
Socialist Party (Lohia),9712,0,0,,,
Bharatiya Praja Paksha,9457,0,0,,,
Lok Bharati,9407,0,0,,,
Lok Vikas Party,9198,0,0,,,
Rajyadhikara Party,9005,0,0,,,
All India Dalit Welfare Congress,8961,0,0,,,
