2004,,,,,,,,,,,,,,,,
By state and territory,,,,,,,,,,,,,,,,
States,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State/Union Territory,Seats,,,,,,,,,,,,,,,
,,UPA,NDA,LF,Others,,,,,,,,,,,
,,,Marumalarchi Dravida Munnetra Kazhagam,542213,0.08,1,,,,,,,,,,
,,,Jammu and Kashmir Peoples Democratic Party,435980,0.07,0,,,,,,,,,,
,,,Assam Jatiya Parishad,414441,0.06,0,,,,,,,,,,
,,,Kerala Congress,364631,0.06,1,,,,,,,,,,
,,,All India Forward Bloc,284269,0.04,0,,,,,,,,,,
,,,Kerala Congress (Mani),277365,0.04,0,,,,,,,,,,
,,Total,,267711232,41.48,234,,,,,,,,,,
,YSR Congress Party,,,13316134,2.06,4,,,,,,,,,,
,Bahujan Samaj Party,,,13153830,2.04,0,,,,,,,,,,
,Biju Janata Dal,,,9412674,1.46,0,,,,,,,,,,
,All India Anna Dravida Munnetra Kazhagam,,,8952587,1.39,0,,,,,,,,,,
,Bharat Rashtra Samithi,,,3657237,0.57,0,,,,,,,,,,
,Naam Tamilar Katchi,,,3600088,0.56,0,,,,,,,,,,
,Shiromani Akali Dal,,,1814318,0.28,1,,,,,,,,,,
,Vanchit Bahujan Aaghadi,,,1582855,0.25,0,,,,,,,,,,
,All India Majlis-e-Ittehadul Muslimeen,,,1400215,0.22,1,,,,,,,,,,
,Desiya Murpokku Dravida Kazhagam,,,1128616,0.17,0,,,,,,,,,,
,Bodoland People's Front,,,777570,0.12,0,,,,,,,,,,
,Aazad Samaj Party (Kanshi Ram),,,691820,0.11,1,,,,,,,,,,
,Indian Secular Front,,,650229,0.1,0,,,,,,,,,,
,All India United Democratic Front,,,625954,0.1,0,,,,,,,,,,
,Voice of the People Party,,,571078,0.09,1,,,,,,,,,,
,Shiromani Akali Dal (Amritsar),,,521749,0.08,0,,,,,,,,,,
,Socialist Unity Centre of India (Communist),,,480987,0.07,0,,,,,,,,,,
,Gondwana Ganatantra Party,,,312997,0.05,0,,,,,,,,,,
,Bahujan Vikas Aaghadi,,,254517,0.04,0,,,,,,,,,,
,Peoples Party of India (Democratic),,,247985,0.04,0,,,,,,,,,,
,Indian National Lok Dal,,,226975,0.04,0,,,,,,,,,,
,Zoram People's Movement,,,208552,0.03,1,,,,,,,,,,
,Jammu and Kashmir Apni Party,,,208149,0.03,0,,,,,,,,,,
,Swabhimani Paksha,,,185371,0.03,0,,,,,,,,,,
,Gana Suraksha Party,,,180000,0.03,0,,,,,,,,,,
,Jammu and Kashmir People's Conference,,,174890,0.03,0,,,,,,,,,,
,Rashtriya Jansambhavna Party,,,168740,0.03,0,,,,,,,,,,
,Republican Party of India (Athawale),,,156302,0.02,0,,,,,,,,,,
,Twenty 20 Party,,,145450,0.02,0,,,,,,,,,,
,Mizo National Front,,,140264,0.02,0,,,,,,,,,,
,Ambedkarite Party of India,,,132444,0.02,0,,,,,,,,,,
,Bhartiya Shakti Chetna Party,,,115024,0.02,0,,,,,,,,,,
,Jannayak Janta Party,,,113827,0.02,0,,,,,,,,,,
,Akhil Bhartiya Parivar Party,,,110212,0.02,0,,,,,,,,,,
,Alliance of Democratic Reforms Party,,,108334,0.02,0,,,,,,,,,,
,Prahar Janshakti Party,,,90759,0.01,0,,,,,,,,,,
,Citizen Action Party â€“ Sikk,,,83566,0.01,0,,,,,,,,,,
,New Rashtriya Samaj Party,,,83046,0.01,0,,,,,,,,,,
,Bharatheeya Jawan Kisan Party,,,78104,0.01,0,,,,,,,,,,
,Sikkim Democratic Front,,,77171,0.01,0,,,,,,,,,,
,Bahujan Maha Party,,,76254,0.01,0,,,,,,,,,,
,Viro Ke Vir Indian Party,,,75950,0.01,0,,,,,,,,,,
,Bahujan Mukti Party,,,73935,0.01,0,,,,,,,,,,
,Samata Party,,,73318,0.01,0,,,,,,,,,,
,Navarang Congress Party,,,67432,0.01,0,,,,,,,,,,
,Samnak Janta Party,,,67374,0.01,0,,,,,,,,,,
,Revolutionary Goans Party,,,64629,0.01,0,,,,,,,,,,
,Voters Party International,,,63496,0.01,0,,,,,,,,,,
,Lokhit Adhikar Party,,,62136,0.01,0,,,,,,,,,,
,Moolniwasi Samaj Party,,,61033,0.01,0,,,,,,,,,,
,Ekam Sanatan Bharat Dal,,,61024,0.01,0,,,,,,,,,,
,Right to Recall Party,,,58024,0.01,0,,,,,,,,,,
,Rashtriya Shoshit Samaj Party,,,53911,0.01,0,,,,,,,,,,
,Bhagidari Party (P),,,51979,0.01,0,,,,,,,,,,
,Karnataka Rashtra Samithi,,,51529,0.01,0,,,,,,,,,,
,Sardar Patel Siddhant Party,,,46145,0.01,0,,,,,,,,,,
,Republican Party of India (A),,,45567,0.01,0,,,,,,,,,,
,United Democratic Party (Meghalaya),,,44563,0.01,0,,,,,,,,,,
,Social Democratic Party of India,,,42465,0.01,0,,,,,,,,,,
,Hamar Raj Party,,,40746,0.01,0,,,,,,,,,,
,Democratic Progressive Azad Party,,,40665,0.01,0,,,,,,,,,,
,Uttama Prajaakeeya Party,,,40491,0.01,0,,,,,,,,,,
,Indian Peoples Green Party,,,39778,0.01,0,,,,,,,,,,
,Apna Dal (Kamerawadi),,,39128,0.01,0,,,,,,,,,,
,Dharma Samaj Party,,,38730,0.01,0,,,,,,,,,,
,Peace Party of India,,,38506,0.01,0,,,,,,,,,,
,Baliraja Party,,,33787,0.01,0,,,,,,,,,,
,Bahujan Bharat Party,,,32870,0.01,0,,,,,,,,,,
,Rashtra Uday Party,,,30073,0,0,,,,,,,,,,
,Bahujan Republican Socialist Party,,,29619,0,0,,,,,,,,,,
,Aadarsh Mithila Party,,,29550,0,0,,,,,,,,,,
,Samaj Shakti Party,,,29235,0,0,,,,,,,,,,
,Rashtriya Samanta Dal,,,28340,0,0,,,,,,,,,,
,Bharatiya Nyay-Adhikar Raksha Party,,,28192,0,0,,,,,,,,,,
,Bharatiya Yuva Jan Ekta Party,,,27969,0,0,,,,,,,,,,
,Pyramid Party of India,,,27966,0,0,,,,,,,,,,
,Bharatiya Gana Parishad,,,27554,0,0,,,,,,,,,,
,Abhinav Rajasthan Party,,,26294,0,0,,,,,,,,,,
,Bharatiya Praja Aikyata Party,,,26271,0,0,,,,,,,,,,
,Moulik Adhikar Party,,,25490,0,0,,,,,,,,,,
,Bhim Sena,,,25345,0,0,,,,,,,,,,
,Sanyukt Kisan Vikas Party,,,25291,0,0,,,,,,,,,,
,Prabuddha Republican Party,,,24361,0,0,,,,,,,,,,
,Bhartiya Sarthak Party,,,23640,0,0,,,,,,,,,,
,Jammu and Kashmir National Panthers Party (Bhim),,,23268,0,0,,,,,,,,,,
,Jatiya Jana Sena Party,,,22935,0,0,,,,,,,,,,
,Jai Bharat National Party,,,22466,0,0,,,,,,,,,,
,Al-Hind Party,,,22308,0,0,,,,,,,,,,
,Yuga Thulasi Party,,,22247,0,0,,,,,,,,,,
,Jagrook Janta Party,,,21566,0,0,,,,,,,,,,
,Bahujan Dravida Party,,,21388,0,0,,,,,,,,,,
,Shakti Sena (Bharat Desh),,,21036,0,0,,,,,,,,,,
,Maharashtra Vikas Aghadi,,,20721,0,0,,,,,,,,,,
,Desh Janhit Party,,,20498,0,0,,,,,,,,,,
,Manas Lokshakti Dal,,,20450,0,0,,,,,,,,,,
,Sarv Adi Dal,,,20348,0,0,,,,,,,,,,
,Log Party,,,20123,0,0,,,,,,,,,,
,Socialist Party (India),,,19941,0,0,,,,,,,,,,
,Jharkhand Party,,,19527,0,0,,,,,,,,,,
,Rashtriya Jan Kalyan Party Secular,,,19495,0,0,,,,,,,,,,
,Jharkhand People's Party,,,19494,0,0,,,,,,,,,,
,Rashtriya Jansabha Party,,,19318,0,0,,,,,,,,,,
,Republican Sena,,,18793,0,0,,,,,,,,,,
,Naba Bharata Nirmana Seva Party,,,18570,0,0,,,,,,,,,,
,Janta Kranti Party (Rashtravadi),,,18401,0,0,,,,,,,,,,
,Samajhdar Party,,,18223,0,0,,,,,,,,,,
,Jai Maha Bharath Party,,,18133,0,0,,,,,,,,,,
,Mithilanchal Mukti Morcha,,,18025,0,0,,,,,,,,,,
,Kisan Mazdoor Sangharsh Party,,,17336,0,0,,,,,,,,,,
,Bharatha Chaitanya Yuvajana Party,,,17173,0,0,,,,,,,,,,
,The National Road Map Party of India,,,17126,0,0,,,,,,,,,,
,India Praja Bandhu Party,,,16942,0,0,,,,,,,,,,
,Navataram Party,,,16864,0,0,,,,,,,,,,
,Rashtriya Sanatan Party,,,16859,0,0,,,,,,,,,,
,National Apni Party,,,16694,0,0,,,,,,,,,,
,Karpoori Janta Dal,,,16512,0,0,,,,,,,,,,
,Wazib Adhikar Party,,,16506,0,0,,,,,,,,,,
,Sainik Samaj Party,,,16040,0,0,,,,,,,,,,
,Bhartiya Lokmat Rashtrwadi Party,,,15411,0,0,,,,,,,,,,
,Pragatisheel Manav Samaj Party,,,15250,0,0,,,,,,,,,,
,Jan Janwadi Party,,,15240,0,0,,,,,,,,,,
,Jaibhim Rao Bharat Party,,,15165,0,0,,,,,,,,,,
,Hindustan Vikas Dal,,,15140,0,0,,,,,,,,,,
,Aam Janta Party (India),,,14729,0,0,,,,,,,,,,
,Jai Prakash Janata Dal,,,14477,0,0,,,,,,,,,,
,Rashtriya Praja Congress (Secular),,,14219,0,0,,,,,,,,,,
,Jantantra Awaj Party,,,14218,0,0,,,,,,,,,,
,Mulnibasi Party of India,,,14168,0,0,,,,,,,,,,
,"Proutist Bloc, India",,,14110,0,0,,,,,,,,,,
,Malwa Congress,,,13925,0,0,,,,,,,,,,
,Hindu Samaj Party,,,13824,0,0,,,,,,,,,,
,Rashtriya Ulama Council,,,13657,0,0,,,,,,,,,,
,Rashtriya Jan Jan Party,,,13213,0,0,,,,,,,,,,
,Jai Hind Party,,,13014,0,0,,,,,,,,,,
,Naadaalum Makkal Katchi,,,12895,0,0,,,,,,,,,,
,Swatantrata Abhivyakti Party,,,12741,0,0,,,,,,,,,,
,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,,,12735,0,0,,,,,,,,,,
,Bhartiya Lok Nayak Party,,,12411,0,0,,,,,,,,,,
,Mahanwadi Party,,,12364,0,0,,,,,,,,,,
,Rashtriya Kisan Bahujan Party,,,12309,0,0,,,,,,,,,,
,Parivartan Samaj Party,,,12304,0,0,,,,,,,,,,
,Naki Bharatiya Ekta Party,,,12299,0,0,,,,,,,,,,
,Praja Velugu Party,,,12199,0,0,,,,,,,,,,
,Bhartiya Rashtriya Dal,,,12178,0,0,,,,,,,,,,
,Rashtrawadi Janlok Party (Satya),,,12049,0,0,,,,,,,,,,
,Azad Adhikar Sena,,,12021,0,0,,,,,,,,,,
,Bharatiya Jan Kranti Dal (Democratic),,,11914,0,0,,,,,,,,,,
,Anna YSR Congress Party,,,11459,0,0,,,,,,,,,,
,Rashtriya Gondvana Party,,,11446,0,0,,,,,,,,,,
,National Loktantrik Party,,,11286,0,0,,,,,,,,,,
,Desiya Makkal Sakthi Katchi,,,11211,0,0,,,,,,,,,,
,Kamatapur Peopleâ€™s Party (Unite,,,11206,0,0,,,,,,,,,,
,Bhartiya Dalit Party,,,11139,0,0,,,,,,,,,,
,National Jan Dal,,,11116,0,0,,,,,,,,,,
,United Republican Party of India,,,10997,0,0,,,,,,,,,,
,Hindustan People's Party (Democratic),,,10992,0,0,,,,,,,,,,
,Bharatiya Momin Front,,,10972,0,0,,,,,,,,,,
,Rashtra Nirman Party,,,10964,0,0,,,,,,,,,,
,Rashtriya Samaj Dal (R),,,10877,0,0,,,,,,,,,,
,Telangana Sakalajanula Party,,,10859,0,0,,,,,,,,,,
,Swarajya Shakti Sena,,,10802,0,0,,,,,,,,,,
,Swatantra Jantaraj Party,,,10627,0,0,,,,,,,,,,
,Pragatisheel Samaj Party,,,10553,0,0,,,,,,,,,,
,Apna Kisan Party,,,10538,0,0,,,,,,,,,,
,Dalita Bahujana Party,,,10311,0,0,,,,,,,,,,
,National Nava Kranthi Party,,,10284,0,0,,,,,,,,,,
,Bharatiya Kisan Parivartan Party,,,10272,0,0,,,,,,,,,,
,Rashtriya Uttarakhand Party,,,10026,0,0,,,,,,,,,,
,Indian National League,,,9918,0,0,,,,,,,,,,
,Akhil Hind Forward Bloc (Krantikari),,,9902,0,0,,,,,,,,,,
,Asom Jana Morcha,,,9895,0,0,,,,,,,,,,
,Rashtriya Devbhumi Party,,,9781,0,0,,,,,,,,,,
,Aam Janta Party Rashtriya,,,9760,0,0,,,,,,,,,,
,Autonomous State Demand Committee,,,9633,0,0,,,,,,,,,,
,Bahujan Samaj Party (Ambedkar),,,9391,0,0,,,,,,,,,,
,Sanatan Sanskriti Raksha Dal,,,9347,0,0,,,,,,,,,,
,Rashtriya Jan Awaz Party,,,9299,0,0,,,,,,,,,,
,Telangana Praja Shakthi Party,,,9290,0,0,,,,,,,,,,
,Uttarakhand Kranti Dal,,,9270,0,0,,,,,,,,,,
,Bharatiya National Janata Dal,,,9258,0,0,,,,,,,,,,
,Bharatiya Bahujan Congress,,,9165,0,0,,,,,,,,,,
,Jan Sewa Driver Party,,,9135,0,0,,,,,,,,,,
,Anti Corruption Dynamic Party,,,9128,0,0,,,,,,,,,,
,Samaniya Makkal Nala Katchi,,,8990,0,0,,,,,,,,,,
,Minorities Democratic Party,,,8978,0,0,,,,,,,,,,
,Hindrashtra Sangh,,,8970,0,0,,,,,,,,,,
,Jai Samta Party,,,8933,0,0,,,,,,,,,,
,Janata Congress,,,8900,0,0,,,,,,,,,,
,Liberation Congress Party,,,8900,0,0,,,,,,,,,,
,Bhartiya Kranti Vir Party,,,8749,0,0,,,,,,,,,,
,Yuva Krantikari Party,,,8736,0,0,,,,,,,,,,
,Akhil Bhartiya Apna Dal,,,8678,0,0,,,,,,,,,,
,Abhay Samaj Party,,,8583,0,0,,,,,,,,,,
,New India United Party,,,8542,0,0,,,,,,,,,,
,Social Justice Party of India,,,8519,0,0,,,,,,,,,,
,Mera Adhikaar Rashtriya Dal,,,8514,0,0,,,,,,,,,,
,Democratic Bharatiya Samaj Party,,,8472,0,0,,,,,,,,,,
,Jammu and Kashmir Nationalist People's Front,,,8453,0,0,,,,,,,,,,
,Parcham Party of India,,,8404,0,0,,,,,,,,,,
,Dhanwan Bharat Party,,,8389,0,0,,,,,,,,,,
,Nationalist Justice Party,,,8357,0,0,,,,,,,,,,
,Eklavya Samaj Party,,,8352,0,0,,,,,,,,,,
,Aravor Munnetra Kazhagam,,,8345,0,0,,,,,,,,,,
,Andaman Nicobar Democratic Congress,,,8254,0,0,,,,,,,,,,
,Purvanchal Mahapanchayat,,,8217,0,0,,,,,,,,,,
,Janhit Sankalp Party,,,8194,0,0,,,,,,,,,,
,Aas Punjab Party,,,8114,0,0,,,,,,,,,,
,Dr. Ambedkar People's Party,,,8089,0,0,,,,,,,,,,
,Dhesiya Makkal Kazhagam,,,8089,0,0,,,,,,,,,,
,Hindustan Janta Party,,,7914,0,0,,,,,,,,,,
,Rashtriya Jansangharsh Swaraj Party,,,7803,0,0,,,,,,,,,,
,Ganasangam Party of India,,,7776,0,0,,,,,,,,,,
,Gunj Satya Ni Janata Party,,,7761,0,0,,,,,,,,,,
,Bajjikanchal Vikas Party,,,7747,0,0,,,,,,,,,,
,Bharat Jan Jagran Dal,,,7736,0,0,,,,,,,,,,
,Global Republican Party,,,7734,0,0,,,,,,,,,,
,Praja Shanthi Party,,,7696,0,0,,,,,,,,,,
,Jai Swaraj Party,,,7684,0,0,,,,,,,,,,
,Rashtriya Jankranti Party,,,7646,0,0,,,,,,,,,,
,Haryana Jansena Party,,,7646,0,0,,,,,,,,,,
,Loktantrik Samajwadi Party,,,7554,0,0,,,,,,,,,,
,Naam Indiar Party,,,7430,0,0,,,,,,,,,,
,All India Arya Mahasabha,,,7345,0,0,,,,,,,,,,
,Manavtawadi Samaj Party,,,7136,0,0,,,,,,,,,,
,Samruddha Odisha,,,7087,0,0,,,,,,,,,,
,Marxist Leninist Party of India (Red Flag),,,7085,0,0,,,,,,,,,,
,Jan Sangh Party,,,7060,0,0,,,,,,,,,,
,Sarv Samaj Party,,,6879,0,0,,,,,,,,,,
,Andhra Rastra Praja Samithi,,,6846,0,0,,,,,,,,,,
,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),,,6698,0,0,,,,,,,,,,
,Vishwa Kalyan Rashtriya Manav Samaj Party,,,6678,0,0,,,,,,,,,,
,Party for Democratic Socialism,,,6651,0,0,,,,,,,,,,
,Arunachal Democratic Party,,,6622,0,0,,,,,,,,,,
,Rashtriya Jansanchar Dal,,,6617,0,0,,,,,,,,,,
,Samata Samadhan Party,,,6614,0,0,,,,,,,,,,
,Nyaydharmsabha,,,6607,0,0,,,,,,,,,,
,Bheem Tribal Congress,,,6603,0,0,,,,,,,,,,
,Loktantrik Samajik Nyay Party,,,6542,0,0,,,,,,,,,,
,Samaj Vikas Kranti Party,,,6373,0,0,,,,,,,,,,
,Bharat Jago Janta Party,,,6340,0,0,,,,,,,,,,
,Rashtriya Janshakti Party (Secular),,,6251,0,0,,,,,,,,,,
,Chhattisgarh Vikas Ganga Rashtriya Party,,,6227,0,0,,,,,,,,,,
,Bhartiya Awam Party (Rastriya),,,6160,0,0,,,,,,,,,,
,Aapki Awaaz Party,,,6087,0,0,,,,,,,,,,
,Sanman Rajkiya Paksha,,,6075,0,0,,,,,,,,,,
,North Bengal Peopleâ€™s Par,,,6073,0,0,,,,,,,,,,
,Bharat Jodo Party,,,6045,0,0,,,,,,,,,,
,Aapki Apni Party (Peoples),,,6033,0,0,,,,,,,,,,
,Bhartiya Jan Samman Party,,,5968,0,0,,,,,,,,,,
,Rashtra Sewa Dal,,,5919,0,0,,,,,,,,,,
,Telugu Rajadhikara Samiti Party,,,5906,0,0,,,,,,,,,,
,Bhartiya Lok Chetna Party,,,5852,0,0,,,,,,,,,,
,Aihra National Party,,,5833,0,0,,,,,,,,,,
,Indian National Socialistic Action Forces,,,5781,0,0,,,,,,,,,,
,Uttarakhand Parivartan Party,,,5778,0,0,,,,,,,,,,
,Sarva Janata Party,,,5771,0,0,,,,,,,,,,
,Bhartiya Krishak Dal,,,5723,0,0,,,,,,,,,,
,Rashtravadi Bharat Party,,,5702,0,0,,,,,,,,,,
,Hindustan Shakti Sena,,,5625,0,0,,,,,,,,,,
,Bharatiya Aam Awam Party,,,5585,0,0,,,,,,,,,,
,Jaathia Chethi Vruthula Ikya Vedika Party,,,5568,0,0,,,,,,,,,,
,Karnataka Jantha Paksha,,,5491,0,0,,,,,,,,,,
,Adarsh Nyay Rakshak Party,,,5484,0,0,,,,,,,,,,
,All India Majlis-E-Inquilab-E-Millat,,,5454,0,0,,,,,,,,,,
,Jai Hind National Party,,,5451,0,0,,,,,,,,,,
,National Awami United Party,,,5319,0,0,,,,,,,,,,
,Samaj Parivartan Party,,,5303,0,0,,,,,,,,,,
,Samyak Party,,,5250,0,0,,,,,,,,,,
,Krupaa Party,,,5242,0,0,,,,,,,,,,
,Delhi Janta Party,,,5235,0,0,,,,,,,,,,
,Dharmarajya Paksha,,,5233,0,0,,,,,,,,,,
,Bhartiya Navjawan Sena (Paksha),,,5183,0,0,,,,,,,,,,
,Kisan Kranti Dal,,,5153,0,0,,,,,,,,,,
,Sardar Vallabhbhai Patel Party,,,5152,0,0,,,,,,,,,,
,Sapaks Party,,,5149,0,0,,,,,,,,,,
,Sabhi Jan Party,,,5147,0,0,,,,,,,,,,
,Apni Ekta Party,,,5139,0,0,,,,,,,,,,
,Rashtriya Garib Dal,,,5105,0,0,,,,,,,,,,
,Loktantra Congress Party,,,5100,0,0,,,,,,,,,,
,National World Leader Party,,,5063,0,0,,,,,,,,,,
,Public Political Party,,,5054,0,0,,,,,,,,,,
,Janhit Kisan Party,,,5030,0,0,,,,,,,,,,
,Political Justice Party,,,5023,0,0,,,,,,,,,,
,Sarvjan Samta Party,,,5020,0,0,,,,,,,,,,
,Hindustan Samaj Party,,,4991,0,0,,,,,,,,,,
,Bharat Rakshak Party (Democratic),,,4961,0,0,,,,,,,,,,
,Jay Vidarbha Party,,,4951,0,0,,,,,,,,,,
,Punjab National Party,,,4934,0,0,,,,,,,,,,
,Amra Bangalee,,,4925,0,0,,,,,,,,,,
,Bhartiya Gandhiwadi Party,,,4822,0,0,,,,,,,,,,
,Rashtriya Republican Party,,,4801,0,0,,,,,,,,,,
,Sikkim Republican Party,,,4799,0,0,,,,,,,,,,
,Puthiya Makkal Tamil Desam Katchi,,,4768,0,0,,,,,,,,,,
,Rashtriya Mahaswaraj Bhumi Party,,,4764,0,0,,,,,,,,,,
,Vidhyarthula Rajakiya Party,,,4747,0,0,,,,,,,,,,
,Bhartiya Rashtriya Ekta Dal,,,4732,0,0,,,,,,,,,,
,Anna MGR Dravida Makkal Kalgam,,,4629,0,0,,,,,,,,,,
,Shoshit Samaj Dal,,,4618,0,0,,,,,,,,,,
,Janseva Gondwana Party,,,4617,0,0,,,,,,,,,,
,Bharat Mahaparivar Party,,,4582,0,0,,,,,,,,,,
,Janshakti Samta Party,,,4577,0,0,,,,,,,,,,
,Tipu Sultan Party,,,4547,0,0,,,,,,,,,,
,Bhartiya Samajik Party,,,4507,0,0,,,,,,,,,,
,Karunaadu Party,,,4481,0,0,,,,,,,,,,
,Telangana Rashtra Punahnirmana Samithi,,,4433,0,0,,,,,,,,,,
,Azad Janata Party,,,4429,0,0,,,,,,,,,,
,Rishivadi Karm Sheel Young Parmarthi Party,,,4401,0,0,,,,,,,,,,
,Jebamani Janata,,,4356,0,0,,,,,,,,,,
,Bhartiya Panchsheel Party,,,4345,0,0,,,,,,,,,,
,Bharatiya Asha Party,,,4300,0,0,,,,,,,,,,
,Apna Desh Party,,,4297,0,0,,,,,,,,,,
,Kalinga Sena,,,4284,0,0,,,,,,,,,,
,Akhil Bhartiya Hamara Samaj Party,,,4225,0,0,,,,,,,,,,
,Gujarat Sarva Samaj Party,,,4211,0,0,,,,,,,,,,
,National Maha Sabha Party,,,4184,0,0,,,,,,,,,,
,Karunada Sevakara Party,,,4175,0,0,,,,,,,,,,
,Loktantrik Lok Rajyam Party,,,4169,0,0,,,,,,,,,,
,Apni Prajahit Party,,,4109,0,0,,,,,,,,,,
,Apna Haq Party,,,4094,0,0,,,,,,,,,,
,Swaraj Bhartiya Nyay Party,,,4088,0,0,,,,,,,,,,
,Indian Peoples Adhikar Party,,,4041,0,0,,,,,,,,,,
,Tamilaga Makkal Thannurimai Katchi,,,4033,0,0,,,,,,,,,,
,Bhartiya Jan Parishad,,,4020,0,0,,,,,,,,,,
,Bharathiya YuvaKula Dalam,,,4007,0,0,,,,,,,,,,
,Bahujan Awam Party,,,3989,0,0,,,,,,,,,,
,Garib Kalyan Party,,,3979,0,0,,,,,,,,,,
,Lok Jan Sangharsh Party,,,3954,0,0,,,,,,,,,,
,Akhand Bharat Samrajya Party,,,3930,0,0,,,,,,,,,,
,Rashtriya Samta Vikas Party,,,3926,0,0,,,,,,,,,,
,Rashtrawadi Chetna Party,,,3915,0,0,,,,,,,,,,
,Rashtriya Manav Party,,,3905,0,0,,,,,,,,,,
,Akhil Bhartiya Sarvjan Hit Party,,,3892,0,0,,,,,,,,,,
,Akhila Vijaya Party,,,3882,0,0,,,,,,,,,,
,Gondwana Dandkaranya Party,,,3857,0,0,,,,,,,,,,
,Swatantra Kisan Party,,,3849,0,0,,,,,,,,,,
,Uttarakhand Samanta Party,,,3845,0,0,,,,,,,,,,
,Mizoram People's Conference,,,3793,0,0,,,,,,,,,,
,Insaniyat Party,,,3790,0,0,,,,,,,,,,
,Thakkam Katchi,,,3785,0,0,,,,,,,,,,
,Bharat Nirman Party,,,3772,0,0,,,,,,,,,,
,Telugu Nava Garjana Party,,,3741,0,0,,,,,,,,,,
,Country Citizen Party,,,3712,0,0,,,,,,,,,,
,Asankhya Samaj Party,,,3672,0,0,,,,,,,,,,
,Sanyukt Bharat Paksh,,,3656,0,0,,,,,,,,,,
,Mana Telangana Rashtra Samaikya Party,,,3634,0,0,,,,,,,,,,
,Jai Sewalal Bahujan Vikas Party,,,3628,0,0,,,,,,,,,,
,All India Youth Development Party,,,3528,0,0,,,,,,,,,,
,Lok Sewa Dal,,,3519,0,0,,,,,,,,,,
,Marxist Communist Party of India (United),,,3505,0,0,,,,,,,,,,
,Naari Nar Rakshak Party,,,3501,0,0,,,,,,,,,,
,Bharatiya Bikash Parishad,,,3430,0,0,,,,,,,,,,
,Prabuddhwadi Bahujan Morcha,,,3414,0,0,,,,,,,,,,
,Sunder Samaj Party,,,3409,0,0,,,,,,,,,,
,People's Party of India(secular),,,3392,0,0,,,,,,,,,,
,Jan Raajya Party,,,3376,0,0,,,,,,,,,,
,Bharatiya Rashtriya Morcha,,,3358,0,0,,,,,,,,,,
,Vanchitsamaj Insaaf Party,,,3330,0,0,,,,,,,,,,
,Sarvjan Lok Shakti Party,,,3280,0,0,,,,,,,,,,
,Janta Samta Party,,,3264,0,0,,,,,,,,,,
,Rashtriya Janshakti Party(Eklavya),,,3263,0,0,,,,,,,,,,
,Majloom Samaj Party,,,3237,0,0,,,,,,,,,,
,Rashtra Samarpan Party,,,3205,0,0,,,,,,,,,,
,"Aam Janmat Party,",,,3205,0,0,,,,,,,,,,
,Republican Party of India,,,3204,0,0,,,,,,,,,,
,Republican Bahujan Sena,,,3161,0,0,,,,,,,,,,
,Abua Jharkhand Party,,,3155,0,0,,,,,,,,,,
,Bhartiya Jantantra Morcha,,,3094,0,0,,,,,,,,,,
,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,,,3078,0,0,,,,,,,,,,
,Bhumiputra United Party,,,3018,0,0,,,,,,,,,,
,Bhartiya Azad Sena,,,3018,0,0,,,,,,,,,,
,Lok Swarajya Party,,,2992,0,0,,,,,,,,,,
,Rashtriya Janshakti Samaj Party,,,2988,0,0,,,,,,,,,,
,Mahathma Makkal Munnetra Kazhakam,,,2981,0,0,,,,,,,,,,
,Rashtriya Maratha Party,,,2978,0,0,,,,,,,,,,
,Kranti Kari Jai Hind Sena,,,2976,0,0,,,,,,,,,,
,Jan Shakti Dal,,,2955,0,0,,,,,,,,,,
,Justice Party,,,2946,0,0,,,,,,,,,,
,Sampoorna Bharat Kranti Party,,,2944,0,0,,,,,,,,,,
,Ummeed Party of India,,,2944,0,0,,,,,,,,,,
,Samst Samaj Party,,,2904,0,0,,,,,,,,,,
,Navabharath Sena,,,2898,0,0,,,,,,,,,,
,Republican Party of India (Social),,,2818,0,0,,,,,,,,,,
,Bharatiya Prajagala Kalyana Paksha,,,2816,0,0,,,,,,,,,,
,Azad Samaj Party,,,2791,0,0,,,,,,,,,,
,Navyug Pragatisheel Morcha,,,2779,0,0,,,,,,,,,,
,Akhil Bharatiya Congress Dal (Ambedkar),,,2777,0,0,,,,,,,,,,
,Garib Democratic Party,,,2748,0,0,,,,,,,,,,
,Bharatiya Praja Surajya Paksha,,,2737,0,0,,,,,,,,,,
,Saath Sahakar Vikas Party,,,2673,0,0,,,,,,,,,,
,Sathi Aur Aapka Faisala Party,,,2666,0,0,,,,,,,,,,
,Bhartiya Jan Samrat Party,,,2640,0,0,,,,,,,,,,
,Jharkhand Mukti Morcha (Ulgulan),,,2615,0,0,,,,,,,,,,
,Viduthalai Kalam Katchi,,,2599,0,0,,,,,,,,,,
,Bharatiya Majdoor Janta Party,,,2566,0,0,,,,,,,,,,
,Swarajya Sena (Maharashtra),,,2533,0,0,,,,,,,,,,
,Smart Indians Party,,,2510,0,0,,,,,,,,,,
,Anna Makkal Katchi,,,2505,0,0,,,,,,,,,,
,All India Ulama Congress,,,2500,0,0,,,,,,,,,,
,Pragatisheel Magahi Samaj,,,2468,0,0,,,,,,,,,,
